Date,Season,Temperature_C,WindSpeed_m_s,CloudCoverage_pct,Fog,Production_kWh_day,Price_eur_mwh
2015-07-14,Summer,26.9,2,5.2,0,378889,28.92
2015-07-15,Summer,28.8,0.2,17.9,0,356694,44.2
2015-07-16,Summer,29.1,1.43,17.3,0,381166,30.08
2015-07-17,Summer,28.5,1.31,33.6,0,328941,40.1
2015-07-18,Summer,28.6,2.17,15.6,0,375472,44.5
2015-07-19,Summer,29.4,2.61,25,0,354344,57.39
2015-07-20,Summer,29.8,1.58,17.1,0,377829,26.85
2015-07-21,Summer,26.2,2.01,12.3,0,401167,35.13
2015-07-22,Summer,25.5,2.25,2,0,404479,24.03
2015-07-23,Summer,28.2,2.79,19.3,0,378547,35.72
2015-07-24,Summer,26.1,1.74,15.1,0,342749,32.37
2015-07-25,Summer,25.5,1.29,20.4,0,360174,31.16
2015-07-26,Summer,25.1,0.85,9.9,0,370962,21.98
2015-07-27,Summer,26.8,3.01,23.6,0,341144,32.88
2015-07-28,Summer,31.6,2.18,28.3,0,332992,41.36
2015-07-29,Summer,26.8,1.68,20.8,0,356496,33.88
2015-07-30,Summer,32.3,2.93,21.6,0,374663,30.7
2015-07-31,Summer,25.8,2.67,13.3,0,359461,27.96
2015-08-01,Summer,26.9,1.81,21,0,361421,38.86
2015-08-02,Summer,29.9,2.32,21.4,0,357272,24.62
2015-08-03,Summer,30.6,1.48,27.5,0,343703,41.28
2015-08-04,Summer,29.9,2.52,17.1,0,389874,39.19
2015-08-05,Summer,23.4,1.84,16.2,0,375960,24.61
2015-08-06,Summer,25.7,2.63,35.2,0,347700,29.62
2015-08-07,Summer,25.6,1.4,14.6,0,371640,32.56
2015-08-08,Summer,26.6,3.64,8.8,0,383416,33.3
2015-08-09,Summer,29.5,1.81,26.7,0,347629,31.97
2015-08-10,Summer,24.4,2.61,9.9,0,389216,36.87
2015-08-11,Summer,26.1,1.25,22.5,0,359315,35.9
2015-08-12,Summer,31.9,1.69,12.5,0,362847,27.2
2015-08-13,Summer,26.1,1.99,25.1,0,352243,41.81
2015-08-14,Summer,26.9,2.61,19.1,0,370827,48.41
2015-08-15,Summer,24.3,2.09,13.5,0,413144,29.62
2015-08-16,Summer,26.1,0.73,4.9,0,425956,42.98
2015-08-17,Summer,24.8,2.77,5.6,0,382680,30.31
2015-08-18,Summer,28.1,1.26,29.1,0,340018,39.1
2015-08-19,Summer,26.4,2.41,16.5,0,350289,39.09
2015-08-20,Summer,28,0.49,28.4,0,337288,20
2015-08-21,Summer,26,2.1,31.1,0,342040,38.97
2015-08-22,Summer,25.4,2.64,13.3,0,397337,34.96
2015-08-23,Summer,27.1,1.9,43.1,0,302464,24.01
2015-08-24,Summer,30.5,1.86,36.5,0,319557,42.25
2015-08-25,Summer,29.3,2.54,19,0,338183,35.52
2015-08-26,Summer,28.3,2.3,7.4,0,391685,25.76
2015-08-27,Summer,33.2,2.12,13.3,0,359206,28.83
2015-08-28,Summer,30,3.13,19.7,0,363404,25.94
2015-08-29,Summer,28.8,1.4,13.2,0,367193,36.98
2015-08-30,Summer,26.2,1.89,20.9,0,359122,30.34
2015-08-31,Summer,30.7,3.13,23.2,0,336373,36.85
2015-09-01,Autumn,23.5,1.49,28.8,0,213451,38.91
2015-09-02,Autumn,19.8,2.45,38.3,0,229359,41.63
2015-09-03,Autumn,19.7,3.35,30.3,0,213482,45.67
2015-09-04,Autumn,21.6,2.17,13.4,0,237726,20
2015-09-05,Autumn,22.1,3.68,44,0,222023,49.94
2015-09-06,Autumn,20.4,1.94,31.1,0,247075,41.49
2015-09-07,Autumn,22.4,0.2,17.7,0,231074,44.69
2015-09-08,Autumn,21.6,1.85,37,0,210287,41.85
2015-09-09,Autumn,21.3,2.01,33.1,0,222002,56.92
2015-09-10,Autumn,19,0.99,43,0,217086,50.02
2015-09-11,Autumn,20.1,2.02,27.1,0,218111,42.4
2015-09-12,Autumn,21.7,3.81,27.4,0,229491,27.52
2015-09-13,Autumn,22,1.51,17.5,0,249989,45.18
2015-09-14,Autumn,19.5,2.52,53,0,192974,52.32
2015-09-15,Autumn,24.2,1.53,36.4,0,212681,48.01
2015-09-16,Autumn,26.3,1.79,26.6,0,230634,54.83
2015-09-17,Autumn,21.7,3.02,31.2,0,211972,34.97
2015-09-18,Autumn,18.1,2.82,29.5,0,221894,46.63
2015-09-19,Autumn,23.6,2.38,21.7,0,235711,50.69
2015-09-20,Autumn,25.7,2.87,15.2,0,252967,41.08
2015-09-21,Autumn,24.5,2.38,20.5,0,235312,22.52
2015-09-22,Autumn,22,2.11,52.9,0,194019,35.96
2015-09-23,Autumn,19.9,1.65,17.8,0,250280,32.73
2015-09-24,Autumn,21.6,0.76,51.6,0,193106,48.46
2015-09-25,Autumn,26.7,3.24,57.8,0,190420,57.97
2015-09-26,Autumn,20.3,0.87,28,0,226320,53.75
2015-09-27,Autumn,18.2,1.65,13.9,0,245036,38.15
2015-09-28,Autumn,18.5,1.95,37.5,0,204698,46.78
2015-09-29,Autumn,19.6,1.46,14,0,249006,35.75
2015-09-30,Autumn,23.3,1.55,33.7,0,218516,29.57
2015-10-01,Autumn,11.8,3.42,31.8,0,236104,50.8
2015-10-02,Autumn,18.8,2.82,18.4,0,256004,37.18
2015-10-03,Autumn,15.8,2.4,51.9,0,191922,55.93
2015-10-04,Autumn,16.4,0.81,52.8,0,181562,42.96
2015-10-05,Autumn,12.3,2.74,44.7,1,166562,52.73
2015-10-06,Autumn,13.3,2.07,49.3,0,199825,46.99
2015-10-07,Autumn,15.3,3.21,49.7,0,195503,55.76
2015-10-08,Autumn,14.3,2.5,37.6,0,213104,42.39
2015-10-09,Autumn,21.3,0.2,41,0,192885,55.25
2015-10-10,Autumn,17.4,3.08,41,0,214910,43.69
2015-10-11,Autumn,17.8,3.15,55.4,0,189767,49.98
2015-10-12,Autumn,15.1,2.15,56.3,0,173699,47.36
2015-10-13,Autumn,16.8,2.15,49.3,0,189236,48.61
2015-10-14,Autumn,20.5,2.56,71.6,0,164544,41.8
2015-10-15,Autumn,13.4,1.7,71.6,0,158909,69.1
2015-10-16,Autumn,19.5,2.74,37.1,0,211058,38.99
2015-10-17,Autumn,10.8,2.43,50.8,1,164624,34.9
2015-10-18,Autumn,17.4,2.78,37.8,0,209173,49.19
2015-10-19,Autumn,18.8,3.18,45.1,0,203450,40.57
2015-10-20,Autumn,18.8,3.3,22.5,0,249808,35.61
2015-10-21,Autumn,18.6,3.07,72.5,0,144847,55.86
2015-10-22,Autumn,10.9,2.51,17.8,0,233193,32.84
2015-10-23,Autumn,14.5,2.5,93.6,0,128878,52.76
2015-10-24,Autumn,20.8,3.29,18.9,0,245512,56.07
2015-10-25,Autumn,19,3.12,32.4,0,217710,33.76
2015-10-26,Autumn,13.6,1.59,36.3,0,194768,38.86
2015-10-27,Autumn,13.2,1.62,56,0,183287,35.19
2015-10-28,Autumn,17.1,1.14,48.3,0,207628,50.06
2015-10-29,Autumn,15.2,1.42,54.6,0,172723,47.43
2015-10-30,Autumn,15,3.31,50.6,0,198812,43.55
2015-10-31,Autumn,13.2,1.53,66.5,0,163636,54.25
2015-11-01,Autumn,10.1,2.48,29.4,0,217649,40.63
2015-11-02,Autumn,12,3.32,69.6,0,156044,52.8
2015-11-03,Autumn,9.1,2.17,48.8,0,187230,49.87
2015-11-04,Autumn,11.5,2.9,94.3,0,132902,43.64
2015-11-05,Autumn,9.1,1.66,70.6,0,162091,45.23
2015-11-06,Autumn,18.4,2.25,28,0,240754,61.19
2015-11-07,Autumn,11.4,3.08,74.8,0,161997,42.25
2015-11-08,Autumn,13.9,2.36,67.6,0,168068,67.46
2015-11-09,Autumn,3.3,3.47,40.7,0,218164,49.56
2015-11-10,Autumn,6.8,2.24,54.3,0,185246,43.28
2015-11-11,Autumn,8.5,2.01,54.9,0,186765,40.4
2015-11-12,Autumn,6.2,1.63,70,0,157364,49.9
2015-11-13,Autumn,1.5,2.03,51.8,0,185723,49.35
2015-11-14,Autumn,7.8,3.1,47.4,0,188147,59.81
2015-11-15,Autumn,14.7,2.07,42.5,0,209329,47.15
2015-11-16,Autumn,10.6,2.99,82.8,1,119637,52.34
2015-11-17,Autumn,10.9,3.41,67.4,0,170886,40.24
2015-11-18,Autumn,12.6,3.61,62.2,0,173125,55.48
2015-11-19,Autumn,8.3,2.33,49.9,0,197332,32.54
2015-11-20,Autumn,13.1,3.2,54.6,1,167750,50.13
2015-11-21,Autumn,9.4,1.46,72.7,0,166726,50.87
2015-11-22,Autumn,11.4,1.14,57.2,0,183439,47.85
2015-11-23,Autumn,5.6,1.82,34.1,1,173495,47.59
2015-11-24,Autumn,9.3,3.24,56.8,0,179778,48.57
2015-11-25,Autumn,10.5,2.28,46.6,0,184342,37.09
2015-11-26,Autumn,6.5,2.8,50.4,0,184754,37.03
2015-11-27,Autumn,5.3,2.69,38,0,218709,50.55
2015-11-28,Autumn,3.4,3.62,81.2,1,131417,46.1
2015-11-29,Autumn,10.5,2.49,65,0,162760,37.92
2015-11-30,Autumn,9.8,1.83,41.3,0,192014,44.02
2015-12-01,Winter,6.7,2.12,75.3,0,109840,52.16
2015-12-02,Winter,5.3,2.28,81.4,0,98539,56.7
2015-12-03,Winter,10.8,1.59,68.9,0,113301,57.44
2015-12-04,Winter,4.3,2.6,87.2,1,87235,64.82
2015-12-05,Winter,6.5,2.13,57.3,0,134173,63.02
2015-12-06,Winter,4.5,3.48,54.6,0,136027,52.02
2015-12-07,Winter,3.6,2.37,49.1,1,109526,46.7
2015-12-08,Winter,1.2,3.14,59.2,0,129116,48.62
2015-12-09,Winter,5.6,2.83,98,0,87182,47.01
2015-12-10,Winter,3.3,2.98,76.5,0,111203,55.95
2015-12-11,Winter,-1.1,2.67,71,1,107510,55.39
2015-12-12,Winter,3.7,3.36,70.2,0,106768,68.19
2015-12-13,Winter,-1.2,1.82,35,0,147447,50.02
2015-12-14,Winter,3.8,3.15,69.9,0,119196,55.38
2015-12-15,Winter,7.4,2.97,70.6,1,95217,52.22
2015-12-16,Winter,5.9,2.75,61.6,0,131939,53.19
2015-12-17,Winter,-2.3,2.76,75.9,1,98026,53.89
2015-12-18,Winter,-2.9,3.01,46.7,0,145141,42.93
2015-12-19,Winter,-6.7,3.01,55.4,0,128348,59.93
2015-12-20,Winter,1.6,3.22,64.9,0,125692,48.41
2015-12-21,Winter,2.9,2.33,56.7,0,134640,60.58
2015-12-22,Winter,-4.3,2.64,69.9,0,116935,58.47
2015-12-23,Winter,0.4,2.8,55.5,0,132199,58.23
2015-12-24,Winter,-4.1,3.77,69.5,0,118847,61.82
2015-12-25,Winter,0.4,2.79,98,0,83896,72.13
2015-12-26,Winter,7.6,3.25,57,0,129226,61.44
2015-12-27,Winter,3.5,2.44,52.1,0,133198,49.95
2015-12-28,Winter,9.4,3.59,75.8,1,98985,60.06
2015-12-29,Winter,5.7,1.82,39.2,0,152564,59.59
2015-12-30,Winter,1.2,2.82,71.4,0,109659,51.26
2015-12-31,Winter,9.3,2.41,72.1,0,112753,59.02
2016-01-01,Winter,5,3.01,54.5,0,140121,49.8
2016-01-02,Winter,-5.4,2.12,82.1,1,87682,54.66
2016-01-03,Winter,0.1,2.69,75.6,1,93625,59.32
2016-01-04,Winter,-1.5,1.71,48.9,0,137826,55.83
2016-01-05,Winter,0.6,1.92,53.3,1,120260,54.29
2016-01-06,Winter,2.8,2.76,39,0,148087,43.91
2016-01-07,Winter,6,2.38,78.1,0,112783,53.01
2016-01-08,Winter,2.6,3.1,41.4,0,151028,51.64
2016-01-09,Winter,0.3,2.55,97.2,1,79608,56.64
2016-01-10,Winter,5.1,2.85,86.3,0,101282,48.33
2016-01-11,Winter,0.3,1.11,83.6,0,110434,51.79
2016-01-12,Winter,4,2.37,57.5,0,127294,52.16
2016-01-13,Winter,0.7,1.03,66.6,0,109016,47
2016-01-14,Winter,6.6,2.99,44.3,0,152019,59.95
2016-01-15,Winter,1.8,2.81,54.7,1,113872,64.1
2016-01-16,Winter,-0.7,4.88,37.2,0,153699,36.9
2016-01-17,Winter,-3.6,1.94,61.5,0,130242,50.04
2016-01-18,Winter,2,3.05,81.5,1,85878,60.05
2016-01-19,Winter,-0.5,2.2,57.3,1,107281,49.74
2016-01-20,Winter,6.9,3.03,44,0,134047,55.67
2016-01-21,Winter,4,3.65,72.2,0,110973,41.81
2016-01-22,Winter,2.6,2.95,80.9,1,93838,51.98
2016-01-23,Winter,0.3,3.46,63.2,1,111221,60.74
2016-01-24,Winter,3.9,3.59,61.3,0,127328,60.88
2016-01-25,Winter,-2.4,1.84,54.3,1,108903,56.26
2016-01-26,Winter,-6.5,3.27,92.4,1,74393,59.98
2016-01-27,Winter,-3.5,2.15,72.8,0,112549,50.9
2016-01-28,Winter,1.8,2.24,80.5,1,90196,66.74
2016-01-29,Winter,10,3.29,85.3,0,102407,50.76
2016-01-30,Winter,5.8,3.07,56.4,0,134047,65.6
2016-01-31,Winter,2.1,3.37,91.4,0,94800,60.18
2016-02-01,Winter,2.8,3.22,25.5,0,167699,38.88
2016-02-02,Winter,2.9,2.28,61,0,125764,52.79
2016-02-03,Winter,3.8,2.69,78.5,1,96162,51.88
2016-02-04,Winter,3.2,2.74,87.1,1,83936,64.33
2016-02-05,Winter,9.6,2.58,50.8,0,134573,49.96
2016-02-06,Winter,-2.7,3.06,49.8,0,138314,38.95
2016-02-07,Winter,8.5,1.65,75.7,0,112736,34.89
2016-02-08,Winter,2.4,3.34,71.7,1,99421,52.37
2016-02-09,Winter,-0.8,3.48,50.7,0,139718,43.08
2016-02-10,Winter,1.5,1.91,66.3,1,103452,62.83
2016-02-11,Winter,3.5,3.74,62,1,109824,57.27
2016-02-12,Winter,9.3,2.44,51.5,0,139103,62.33
2016-02-13,Winter,1.2,3.06,60.3,0,116248,49.57
2016-02-14,Winter,10,3.26,59.4,0,120894,66.08
2016-02-15,Winter,1.6,3.38,67.8,0,111849,66.54
2016-02-16,Winter,9.8,2.65,54.6,0,119413,49.95
2016-02-17,Winter,2.8,3.92,68.9,0,115166,43.57
2016-02-18,Winter,13.1,3.41,51.9,0,140879,50.73
2016-02-19,Winter,7.3,2.72,58.1,0,126713,48.76
2016-02-20,Winter,3,4.29,82.5,0,105325,56.33
2016-02-21,Winter,11,5.11,49.4,0,147000,54.44
2016-02-22,Winter,4.7,2.21,35.1,0,159263,58.93
2016-02-23,Winter,-0.6,3.97,75,0,111728,50.75
2016-02-24,Winter,2.8,2.84,50.6,0,143474,38.21
2016-02-25,Winter,-1.5,3.05,38.7,0,149306,55.64
2016-02-26,Winter,-1,2.55,49.9,1,116044,55.93
2016-02-27,Winter,7.9,3.02,75,0,108355,45.54
2016-02-28,Winter,5,3.2,60.3,0,119003,46.58
2016-02-29,Winter,0.8,2.82,63.7,1,103964,59.47
2016-03-01,Spring,10.7,3.37,80.5,0,184619,53.36
2016-03-02,Spring,6.3,0.3,46.7,0,253797,36.25
2016-03-03,Spring,10,2.81,15.9,0,325341,46.53
2016-03-04,Spring,10,3.29,58.5,0,214746,54.76
2016-03-05,Spring,12.2,2.57,36.8,0,271363,42.17
2016-03-06,Spring,-0.1,2.53,35,0,257421,28.91
2016-03-07,Spring,10.7,4.05,40.3,0,268372,44.34
2016-03-08,Spring,14,3.59,69.6,0,208854,53.58
2016-03-09,Spring,13.7,2.27,52.1,0,221803,42.68
2016-03-10,Spring,12,3.9,62.4,0,231052,42.05
2016-03-11,Spring,9.1,2.05,50.1,0,234022,53.83
